genre,track_id,artist_name,title,loudness,tempo,time_signature,key,mode,duration,avg_timbre1,avg_timbre2,avg_timbre3,avg_timbre4,avg_timbre5,avg_timbre6,avg_timbre7,avg_timbre8,avg_timbre9,avg_timbre10,avg_timbre11,avg_timbre12,var_timbre1,var_timbre2,var_timbre3,var_timbre4,var_timbre5,var_timbre6,var_timbre7,var_timbre8,var_timbre9,var_timbre10,var_timbre11,var_timbre12,max_segment_timbre1,max_segment_timbre2,max_segment_timbre3,max_segment_timbre4,max_segment_timbre5,max_segment_timbre6,max_segment_timbre7,max_segment_timbre8,max_segment_timbre9,max_segment_timbre10,max_segment_timbre11,max_segment_timbre12
1,TRBCBXZ128F14628C3,Lighthouse Family,Ocean Drive,-8.03,90.703,3,2,1,241.8673,44.7301405622,15.9655401606,-7.9286777108,-1.6325411647,-1.1758634538,-17.0629939759,6.1701787149,-4.4240251004,1.0391566265,-5.127373494,3.6027791165,1.7856656627,44.1324721489,913.066238086,1425.60695678,1113.61836093,508.846291915,836.296656978,532.072916558,389.820707183,290.887943457,282.91462878,199.104616064,168.467484379,46.248,28.845,-28.762,24.473,12.041,71.89,-10.282,23.868,11.638,-0.164,-58.558,3.767
1,TRBEIKK128F14628D6,Lighthouse Family,Run,-8.077,153.474,4,3,0,241.24036,45.4917119741,8.4381121899,-15.9425997843,-10.6513549083,-5.1526817692,-17.3801607335,-12.3740453074,-8.4675426106,5.6478004315,2.6205976268,3.8162977346,6.6097152104,42.0499535923,1184.11494918,1693.55055607,1117.62195498,551.366647617,472.049412182,458.846074168,320.793664416,233.985772058,167.175772018,206.420175523,118.555934909,53.166,28.116,18.659,3.291,18.53,-26.005,9.063,-9.362,42.123,18.29,10.966,15.324
1,TRACWEH128F1456890,Terry Callier,Blues,-8.154,109.018,3,7,1,180.50567,43.8839801418,24.7884056738,18.8406992908,1.2465049645,0.9684553191,-1.343564539,-0.9616340426,-9.2048297872,0.535835461,-5.6348553192,-4.0644851064,-3.5469205674,34.7774316932,1821.65711563,1959.1069322,860.749361586,868.961115394,822.700646802,487.417584652,461.684585299,361.970013701,465.31567323,183.014384446,259.743445534,51.902,67.933,65.269,18.727,23.296,4.466,-25.667,-3.046,-0.789,-15.549,-9.764,-22.102
1,TRAHFQG128F149892A,Terry Callier,Satin Doll,-19.933,92.927,3,7,1,258.19383,29.8799171875,-35.1740671875,-44.8220125,-35.8084453125,-11.146521875,-11.09231875,-7.5232703125,2.9334671875,0.3703890625,2.4811515625,-4.540615625,-0.085646875,61.077708751,2994.72566584,2446.27056912,1637.36473378,1115.03821431,805.53579047,887.755978891,645.593919118,667.79317876,399.175607635,282.065968393,345.593263191,40.702,37.279,-26.025,133.237,-30.901,-0.449,-6.337,-12.644,1.812,-25.786,-57.587,-11.605
1,TRAYWVN128F42B972B,Terry Callier,Holdin' On,-10.859,95.861,4,0,1,327.05261,40.8525200946,-31.3066816391,0.6462718676,1.4279503546,19.1363530339,-1.6533758865,0.5465941686,-1.3753230891,9.7264925138,1.4412340426,-1.9463483058,3.0302742317,56.6927971306,2655.10320208,2154.43243759,1681.16872657,1168.20466459,1277.75399212,678.390461121,474.325990039,584.046221498,337.190373749,341.962483333,266.258182084,46.456,-34.367,-1.821,-11.75,11.305,88.36,-2.115,3.641,7.912,-23.273,12.231,2.486
1,TRANUNR12903CE6E2E,Terry Callier,Occasional Rain,-12.061,125.964,7,11,1,243.04281,39.9211489362,-38.2915924714,8.7110278232,-20.2305090016,-19.6371456628,-15.245101473,-11.09199018,-0.0620294599,-5.6696432079,-6.0839345336,8.4790605565,38.3580540098,61.006789004,3518.44298673,2189.44190535,833.831984234,1278.72825954,453.912389414,1006.31082089,421.977511184,765.792689094,261.971932303,147.504175405,608.41048027,50.726,8.019,48.357,50.903,-6.906,11.402,8.634,-49.393,-6.974,-2.784,-0.223,60.082
1,TRAACPE128F421C1B9,Terry Callier,Do You Finally Need A Friend,-11.939,110.189,3,6,1,342.56934,39.6596700111,-41.0135306577,12.1420914158,-18.2088651059,17.0306978818,-11.8843667781,-18.576122631,0.8869788183,7.269877369,0.7202998885,-1.9815351171,-3.3194526198,63.3288400427,2482.07022817,2965.58191193,1290.92728224,1581.06588856,658.951408023,961.88716895,463.914260373,734.379223873,378.652293017,230.906051,666.745270549,51.448,5.01,67.941,-18.546,28.89,6.681,10.711,5.353,6.692,-16.202,-7.174,-17.154
1,TRBELYI128F147E20B,Terry Callier,Java Sparrow,-12.93,118.606,4,7,1,315.08853,37.9038295318,-12.4106782713,-42.7055258103,-18.9848763505,16.2986218487,-18.0796926771,-13.9230516206,-0.6072088836,1.3908655462,0.3623469388,1.4137911165,14.4286398559,46.3681536396,2985.60545648,1954.64232398,1767.9013048,1081.05960715,910.147636321,572.644303341,447.493396492,555.807714527,330.400358241,268.872087623,313.909967733,52.756,75.039,18.725,8.698,9.669,-51.913,-38.096,2.29,-11.309,-15.157,9.361,9.497
1,TRAZDGU128F4234A91,Glen Campbell,After The Glitter Fades (LP Version),-17.913,155.839,4,4,1,166.39955,35.7141902985,-19.7842481343,7.2354962687,-2.7739738806,-22.7480373134,0.8034533582,1.5993432836,-8.3284104478,0.2942294776,-1.5415932836,-0.4855485075,-2.2835895522,17.0559632399,1442.28744977,2153.46623076,1218.70707747,932.692887551,632.30017077,612.320560181,407.721104936,446.429948304,407.05562292,261.447070692,243.263497649,41.018,-14.596,-15.759,25.303,-33.848,30.633,14.684,-11.081,4.558,-18.183,23.92,-11.395
1,TRAAGNL128F4299BF1,Glen Campbell,I'm Gone This Time,-11.335,137.29,4,1,0,142.75873,42.1959054487,19.8302403846,16.5196121795,4.4633157051,-5.5427548077,-2.9097403846,1.3907708333,-5.4102628205,3.0196586539,5.4322179487,0.0363076923,1.121713141,14.8586945792,1613.57044128,1718.29568892,1275.0984545,1201.40783506,931.13856591,531.778452157,363.554837716,349.94902119,303.29513993,216.782168441,215.97724856,45.096,58.412,-36.042,23.681,8.382,58.014,-7.504,-19.229,11.492,12.511,-0.742,-7.172
